time,ks,adf_stationarity,eq_score
2025-08-10 05:55:00+02:00,0.7777777777777778,0.3142596459837711,0.2590371917268418
2025-08-10 06:10:00+02:00,0.6944444444444444,0.7012723099463255,0.46384225731186357
2025-08-10 06:25:00+02:00,0.6111111111111112,0.689955170414825,0.5093154014992634
2025-08-10 06:40:00+02:00,0.5277777777777778,0.848466118800395,0.6227197808534913
2025-08-10 06:55:00+02:00,0.3888888888888889,0.9939032077494006,0.7642279497664269
2025-08-10 07:10:00+02:00,0.5277777777777778,0.9368018419213923,0.6580540701018902
2025-08-10 07:25:00+02:00,0.5833333333333334,0.989328032940526,0.6457312131762104
2025-08-10 07:40:00+02:00,0.5833333333333334,0.9864249267558731,0.6445699707023492
2025-08-10 07:55:00+02:00,0.6111111111111112,0.9710495847118124,0.6217531672180583
2025-08-10 08:10:00+02:00,0.5277777777777778,0.7915946421393345,0.5999711901890672
2025-08-10 08:25:00+02:00,0.4722222222222222,0.6813650107920878,0.5892126709835017
2025-08-10 08:40:00+02:00,0.4166666666666667,0.5331624171854352,0.563264966874174
2025-08-10 08:55:00+02:00,0.4166666666666667,0.3850667076076959,0.5040266830430783
2025-08-10 09:10:00+02:00,0.3333333333333333,0.35437026424361306,0.5417481056974452
2025-08-10 09:25:00+02:00,0.25,0.41424146020669594,0.6156965840826784
2025-08-10 09:40:00+02:00,0.2777777777777778,0.947548865541253,0.8123528795498345
2025-08-10 09:55:00+02:00,0.3888888888888889,0.9990297231456848,0.7662785559249407
2025-08-10 10:10:00+02:00,0.5,0.2859534781588048,0.4143813912635219
2025-08-10 10:25:00+02:00,0.5,0.01549342381980634,0.30619736952792254
2025-08-10 10:40:00+02:00,0.5555555555555556,0.8566083166475615,0.6093099933256914
2025-08-10 10:55:00+02:00,0.5555555555555556,0.42009711502355296,0.43470551267608787
2025-08-10 11:10:00+02:00,0.4722222222222222,0.29882515975839175,0.43619673057002334
2025-08-10 11:25:00+02:00,0.3888888888888889,0.05090181331395083,0.387027391992247
2025-08-10 11:40:00+02:00,0.3055555555555556,0.04552855006220913,0.43487808669155026
2025-08-10 11:55:00+02:00,0.3611111111111111,0.07724196083557167,0.41423011766756196
2025-08-10 12:10:00+02:00,0.4444444444444444,0.13550333260412928,0.387534666374985
2025-08-10 12:25:00+02:00,0.5277777777777778,0.2108568163749842,0.367676059883327
2025-08-10 12:40:00+02:00,0.6111111111111112,0.33466353068577537,0.36719874560764343
2025-08-10 12:55:00+02:00,0.6944444444444444,0.48958185388246744,0.37916607488632037
2025-08-10 13:10:00+02:00,0.7777777777777778,0.9440189066852358,0.5109408960074276
2025-08-10 13:25:00+02:00,0.8611111111111112,0.924416074116231,0.45309976297982574
2025-08-10 13:40:00+02:00,0.9444444444444444,0.883134080561458,0.38658696555791655
2025-08-10 13:55:00+02:00,0.9166666666666666,0.6021324670877609,0.2908529868351044
2025-08-10 14:10:00+02:00,0.9166666666666666,0.04749027066487954,0.06899610826595184
2025-08-10 14:25:00+02:00,0.8611111111111112,0.2926595623045979,0.20039715825517246
2025-08-10 14:40:00+02:00,0.7777777777777778,0.776463034512141,0.4439185471381898
2025-08-10 14:55:00+02:00,0.6944444444444444,0.38932791804644606,0.3390645005519118
2025-08-10 15:10:00+02:00,0.6111111111111112,0.6420966219283241,0.4901719821046629
2025-08-10 15:25:00+02:00,0.6111111111111112,0.874049928280758,0.5829533046456365
2025-08-10 15:40:00+02:00,0.6666666666666666,0.8995806358033545,0.5598322543213419
2025-08-10 15:55:00+02:00,0.75,0.9813770180988622,0.542550807239545
2025-08-10 16:10:00+02:00,0.8055555555555556,0.9724050212725202,0.5056286751756747
2025-08-10 16:25:00+02:00,0.7777777777777778,0.46833875663186564,0.3206688359860796
2025-08-10 16:40:00+02:00,0.6111111111111112,0.4048895812494001,0.39528916583309337
2025-08-10 16:55:00+02:00,0.4444444444444444,0.37234583974570845,0.4822716692316167
2025-08-10 17:10:00+02:00,0.2777777777777778,0.6768278299294335,0.7040644653051067
2025-08-10 17:25:00+02:00,0.16666666666666666,0.17874190095341103,0.5714967603813644
2025-08-10 17:40:00+02:00,0.16666666666666666,0.22003493300434696,0.5880139732017388
2025-08-10 17:55:00+02:00,0.19444444444444445,0.49223860546875986,0.6802287755208373
2025-08-10 18:10:00+02:00,0.3333333333333333,0.9713386973133841,0.7885354789253537
2025-08-10 18:25:00+02:00,0.4444444444444444,0.7676539938124027,0.6403949308582944
2025-08-10 18:40:00+02:00,0.6111111111111112,0.8470927056887742,0.572170415608843
2025-08-10 18:55:00+02:00,0.7222222222222222,0.5658780881969689,0.3930179019454543
2025-08-10 19:10:00+02:00,0.75,0.6120740473003037,0.3948296189201215
2025-08-10 19:25:00+02:00,0.7222222222222222,0.664275466872685,0.4323768534157407
2025-08-10 19:40:00+02:00,0.6388888888888888,0.9705359055671783,0.604881028893538
2025-08-10 19:55:00+02:00,0.5,0.9923074846411297,0.6969229938564518
2025-08-10 20:10:00+02:00,0.4166666666666667,0.9965527665454231,0.7486211066181692
2025-08-10 20:25:00+02:00,0.3611111111111111,0.9926046410322122,0.7803751897462182
2025-08-10 20:40:00+02:00,0.3888888888888889,0.9054432349038257,0.728843960628197
2025-08-10 20:55:00+02:00,0.4444444444444444,0.9660266384259815,0.7197439887037259
2025-08-10 21:10:00+02:00,0.4444444444444444,0.9484516620518061,0.7127139981540558
2025-08-10 21:25:00+02:00,0.4444444444444444,0.8000492464490068,0.653353031912936
2025-08-10 21:40:00+02:00,0.4444444444444444,0.6826420972886424,0.6063901722487903
